0.5f, 0.40844727f, 0.39424133f, 0.3859024f, 0.37992096f, 0.37467957f, 0.37058973f, 0.36694717f, 0.3635292f, 0.3606987f, 
-0.14607292f, -0.14612556f, -0.14617991f, -0.14623621f, -0.14629126f, -0.14634877f, -0.14640474f, -0.1464603f, -0.14651333f, -0.14656833f, 
-0.14662272f, -0.14668009f, -0.14673519f, -0.14679068f, -0.14684303f, -0.14690316f, -0.14695665f, -0.14701506f, -0.14707342f, -0.14712948f, 
-0.14718804f, -0.14724874f, -0.14730394f, -0.14735949f, -0.14741698f, -0.1474719f, -0.14752597f, -0.1475817f, -0.14763743f, -0.1476934f, 
-0.14775112f, -0.14780611f, -0.14786437f, -0.14792067f, -0.14797664f, -0.14803147f, -0.14808834f, -0.14814708f, -0.14820611f, -0.14826326f, 
-0.14832333f, -0.148381f, -0.14843571f, -0.14849183f, -0.1485475f, -0.14860229f, -0.14866209f, -0.14871687f, -0.1487745f, -0.14883186f, 
-0.1488893f, -0.14894933f, -0.14900482f, -0.14906277f, -0.14912003f, -0.14917558f, -0.14922842f, -0.14928436f, -0.14934039f, -0.14939418f, 
-0.14945267f, -0.14951241f, -0.1495711f, -0.14962804f, -0.14968199f, -0.14973912f, -0.1497972f, -0.14985263f, -0.14990854f, -0.14996457f, 
-0.15002179f, -0.15007767f, -0.15013504f, -0.1501919f, -0.15024951f, -0.15030634f, -0.15036452f, -0.15042144f, -0.15047942f, -0.15053475f, 
-0.15059423f, -0.15065336f, -0.15070999f, -0.1507678f, -0.15082644f, -0.1508798f, -0.15093946f, -0.15099621f, -0.15105449f, -0.15111363f, 
-0.15117276f, -0.15123075f, -0.15128905f, -0.15134767f, -0.15140504f, -0.15146388f, -0.151523f, -0.15158078f, -0.15163642f, -0.15169388f, 
-0.15175171f, -0.15181237f, -0.15187204f, -0.1519255f, -0.15198606f, -0.15204397f, -0.15210247f, -0.1521625f, -0.1522184f, -0.1522778f, 
-0.1523394f, -0.15239859f, -0.15245777f, -0.15251696f, -0.15257591f, -0.15263414f, -0.15269381f, -0.15275049f, -0.15280974f, -0.15286672f, 
-0.15292704f, -0.152982f, -0.15303928f, -0.15309829f, -0.15315783f, -0.15321577f, -0.15327239f, -0.1533302f, -0.15339074f, -0.15344843f, 
-0.15351003f, -0.15356821f, -0.1536271f, -0.15368867f, -0.15374893f, -0.15380803f, -0.15386939f, -0.15392867f, -0.15398267f, -0.15404367f, 
-0.15410209f, -0.15416002f, -0.15421727f, -0.15427756f, -0.15433761f, -0.15439627f, -0.15445255f, -0.15451431f, -0.15457362f, -0.15463758f, 
-0.15469813f, -0.15475929f, -0.1548171f, -0.15487543f, -0.15493655f, -0.15499818f, -0.1550566f, -0.15511554f, -0.15517512f, -0.15523577f, 
-0.15529595f, -0.15535605f, -0.15541506f, -0.15547478f, -0.15553257f, -0.15559244f, -0.15565217f, -0.15571144f, -0.15576947f, -0.1558299f, 
-0.15588951f, -0.15594974f, -0.1560092f, -0.15607129f, -0.15613203f, -0.15619087f, -0.15624744f, -0.15630597f, -0.15636927f, -0.1564326f, 
-0.15649053f, -0.15655206f, -0.15661474f, -0.15667236f, -0.15673602f, -0.15679646f, -0.15685773f, -0.15691817f, -0.15698051f, -0.15704215f, 
-0.15710256f, -0.15716934f, -0.1572299f, -0.15729189f, -0.15735239f, -0.15741335f, -0.15747234f, -0.15753332f, -0.15759419f, -0.15765224f, 
-0.15771526f, -0.15777868f, -0.15784383f, -0.1579076f, -0.15797085f, -0.1580329f, -0.15809512f, -0.15815435f, -0.1582129f, -0.15827501f, 
-0.15833741f, -0.1583961f, -0.15845595f, -0.15851724f, -0.1585784f, -0.15864186f, -0.15870363f, -0.15876517f, -0.15882647f, -0.15888584f, 
-0.15894663f, -0.15900576f, -0.15906662f, -0.1591301f, -0.1591928f, -0.15925246f, -0.15931496f, -0.15937907f, -0.15944302f, -0.1595077f, 
-0.15957046f, -0.15963167f, -0.159693f, -0.15975295f, -0.15981519f, -0.15988049f, -0.15994608f, -0.16001028f, -0.16007543f, -0.16013941f, 
-0.16020179f, -0.16026449f, -0.1603291f, -0.16038918f, -0.16045439f, -0.16051564f, -0.16057742f, -0.1606423f, -0.16070622f, -0.16077209f, 
-0.16083539f, -0.16089639f, -0.16096103f, -0.16102427f, -0.16109109f, -0.16115141f, -0.16121063f, -0.16127044f, -0.16133282f, -0.16139418f, 
-0.16145468f, -0.16152233f, -0.1615848f, -0.16165069f, -0.16171134f, -0.16177212f, -0.1618368f, -0.16189969f, -0.16196273f, -0.16202646f, 
-0.16208756f, -0.16215515f, -0.16221802f, -0.16227901f, -0.16234362f, -0.16240984f, -0.16247603f, -0.16254005f, -0.16260576f, -0.16266847f, 
-0.162732f, -0.1627961f, -0.1628598f, -0.16292429f, -0.1629909f, -0.16305465f, -0.16311589f, -0.16318417f, -0.16324645f, -0.16331291f, 
-0.16338068f, -0.16344653f, -0.16351032f, -0.163576f, -0.1636383f, -0.16370246f, -0.16376638f, -0.16383386f, -0.16389978f, -0.16396487f, 
-0.16402802f, -0.1640951f, -0.16416055f, -0.1642259f, -0.16429484f, -0.16436148f, -0.16442472f, -0.16448832f, -0.16455123f, -0.1646175f, 
-0.16467977f, -0.16474265f, -0.16481194f, -0.16487885f, -0.16494107f, -0.16500705f, -0.16507512f, -0.16513956f, -0.16520306f, -0.16526347f, 
-0.16532958f, -0.16539359f, -0.16546062f, -0.16552722f, -0.1655913f, -0.1656581f, -0.16572344f, -0.16578913f, -0.16585551f, -0.16592029f, 
-0.16598803f, -0.16605598f, -0.16612092f, -0.16619074f, -0.16626102f, -0.16632774f, -0.16639134f, -0.16645628f, -0.16652209f, -0.16658826f, 
-0.166655f, -0.16672385f, -0.1667898f, -0.16685668f, -0.1669203f, -0.16698481f, -0.16705021f, -0.16711599f, -0.16718352f, -0.16725129f, 
-0.16731855f, -0.16738558f, -0.16745232f, -0.16752112f, -0.16758735f, -0.16765445f, -0.16772056f, -0.16778898f, -0.16785479f, -0.16792357f, 
-0.16799134f, -0.16805965f, -0.16812888f, -0.16819406f, -0.1682629f, -0.16833091f, -0.16839677f, -0.16846362f, -0.1685324f, -0.16860157f, 
-0.16867083f, -0.16873512f, -0.16880298f, -0.16887152f, -0.16894239f, -0.16901237f, -0.16908184f, -0.1691513f, -0.16922322f, -0.16929215f, 
-0.16935873f, -0.169427f, -0.16949219f, -0.16956139f, -0.16963565f, -0.16970634f, -0.16977793f, -0.16984355f, -0.16991308f, -0.16998053f, 
-0.17005265f, -0.17012289f, -0.17019391f, -0.17026317f, -0.17033365f, -0.17040372f, -0.17047238f, -0.1705374f, -0.17060399f, -0.17067319f, 
-0.17074716f, -0.17081445f, -0.17088711f, -0.17095652f, -0.1710248f, -0.17109096f, -0.17116171f, -0.17123255f, -0.17130402f, -0.17137164f, 
-0.17144302f, -0.17151213f, -0.17157912f, -0.17165166f, -0.17172182f, -0.17179263f, -0.17186189f, -0.17192924f, -0.1719985f, -0.17206812f, 
-0.1721381f, -0.17220551f, -0.17227703f, -0.17234908f, -0.17242014f, -0.17249483f, -0.17256892f, -0.17263913f, -0.17271101f, -0.17278105f, 
-0.17285132f, -0.17292821f, -0.17300045f, -0.17307091f, -0.17314696f, -0.17321986f, -0.173291f, -0.17336139f, -0.17343453f, -0.17350602f, 
-0.17357826f, -0.17365074f, -0.17372322f, -0.17379194f, -0.1738646f, -0.17393875f, -0.17401029f, -0.17408139f, -0.17415619f, -0.17423123f, 
-0.1743033f, -0.17437607f, -0.1744493f, -0.17452717f, -0.17460072f, -0.17467397f, -0.1747424f, -0.1748147f, -0.17488444f, -0.17495428f, 
-0.17502677f, -0.1750965f, -0.17516837f, -0.17524421f, -0.17531621f, -0.17539209f, -0.17547089f, -0.17554417f, -0.17561877f, -0.1756888f, 
-0.1757621f, -0.17583385f, -0.17590648f, -0.17597681f, -0.17605186f, -0.17612123f, -0.17619252f, -0.1762653f, -0.17633867f, -0.17641139f, 
-0.17648613f, -0.17656139f, -0.1766355f, -0.17671172f, -0.17678393f, -0.17685497f, -0.17692405f, -0.17699862f, -0.17707324f, -0.17715445f, 
-0.17722577f, -0.17730026f, -0.17737639f, -0.17745706f, -0.17753166f, -0.17760825f, -0.17768252f, -0.17775667f, -0.1778307f, -0.17790544f, 
-0.17797625f, -0.17804849f, -0.17812514f, -0.17820358f, -0.17827702f, -0.17835319f, -0.17842636f, -0.17850557f, -0.17857999f, -0.17865717f, 
-0.17873305f, -0.17881274f, -0.17888737f, -0.17896609f, -0.17904407f, -0.17911911f, -0.17919976f, -0.1792733f, -0.17934963f, -0.17942536f, 
-0.17949796f, -0.17957163f, -0.17965221f, -0.17972782f, -0.17980325f, -0.17988467f, -0.17996442f, -0.18004125f, -0.18011856f, -0.18019366f, 
-0.1802702f, -0.18034744f, -0.18042505f, -0.18049917f, -0.18058115f, -0.18065846f, -0.18073466f, -0.18081582f, -0.1808933f, -0.18096605f, 
-0.18104243f, -0.1811229f, -0.18120098f, -0.18128061f, -0.18135774f, -0.18143511f, -0.18151802f, -0.18159553f, -0.18167496f, -0.18175745f, 
-0.18183328f, -0.1819073f, -0.18198466f, -0.1820581f, -0.18213874f, -0.18221378f, -0.18229389f, -0.18237758f, -0.18246001f, -0.1825341f, 
-0.18261302f, -0.18269196f, -0.18277276f, -0.18284911f, -0.18292965f, -0.18300772f, -0.18308508f, -0.18316257f, -0.18324497f, -0.1833229f, 
-0.18340027f, -0.18348539f, -0.1835639f, -0.18364316f, -0.18372038f, -0.18379974f, -0.18387684f, -0.18395507f, -0.18403769f, -0.18411636f, 
-0.18419468f, -0.18427324f, -0.18435532f, -0.18443453f, -0.18451121f, -0.18459344f, -0.18467218f, -0.18475126f, -0.18483204f, -0.1849117f, 
-0.18499288f, -0.18507588f, -0.18515748f, -0.1852389f, -0.18531919f, -0.18539739f, -0.1854791f, -0.18555969f, -0.18563843f, -0.18572235f, 
-0.18580437f, -0.18588674f, -0.18596804f, -0.18604684f, -0.18612695f, -0.18620884f, -0.18629062f, -0.18637294f, -0.18645543f, -0.18653564f, 
-0.18661523f, -0.18669358f, -0.18677647f, -0.18686116f, -0.18694693f, -0.18703106f, -0.18711546f, -0.18720007f, -0.18728203f, -0.18736109f, 
-0.1874435f, -0.1875264f, -0.18760633f, -0.18769193f, -0.18777043f, -0.18785477f, -0.18793744f, -0.1880219f, -0.18810475f, -0.18818855f, 
-0.1882757f, -0.1883614f, -0.1884439f, -0.18852755f, -0.18861066f, -0.18869373f, -0.1887761f, -0.18885875f, -0.18893862f, -0.18901756f, 
-0.18910217f, -0.18918693f, -0.1892659f, -0.18934715f, -0.18943125f, -0.18951583f, -0.1895996f, -0.1896857f, -0.18976903f, -0.18985295f, 
-0.18993878f, -0.1900248f, -0.19011354f, -0.19019811f, -0.19028604f, -0.19036758f, -0.19045287f, -0.19053479f, -0.19061548f, -0.19070458f, 
-0.19078946f, -0.190878f, -0.1909582f, -0.19104671f, -0.19113348f, -0.19121742f, -0.19130445f, -0.19138658f, -0.1914688f, -0.19155365f, 
-0.19163978f, -0.19172129f, -0.19180572f, -0.19189167f, -0.1919772f, -0.1920591f, -0.19214742f, -0.19223034f, -0.19231296f, -0.19239739f, 
-0.19248074f, -0.19256687f, -0.19265239f, -0.1927399f, -0.192824f, -0.1929087f, -0.1929928f, -0.1930781f, -0.19316384f, -0.19325042f, 
-0.19333386f, -0.1934179f, -0.19350576f, -0.19358915f, -0.19367349f, -0.19375694f, -0.19384396f, -0.193932f, -0.19402045f, -0.19410789f, 
-0.19419697f, -0.19428372f, -0.19437093f, -0.19446075f, -0.19454664f, -0.19463122f, -0.19471622f, -0.19480348f, -0.19488862f, -0.19497693f, 
-0.19506025f, -0.19514698f, -0.19523048f, -0.19531941f, -0.1954083f, -0.1954903f, -0.1955812f, -0.19567037f, -0.19576138f, -0.19584723f, 
-0.19593745f, -0.19602603f, -0.1961169f, -0.19620073f, -0.19629037f, -0.1963706f, -0.19645709f, -0.19654417f, -0.19663215f, -0.19671941f, 
-0.19680679f, -0.19689703f, -0.19698763f, -0.19707549f, -0.19716454f, -0.19725394f, -0.1973424f, -0.1974315f, -0.1975261f, -0.19761795f, 
-0.19770455f, -0.19779134f, -0.19787998f, -0.19797719f, -0.19806492f, -0.1981529f, -0.19824195f, -0.19833028f, -0.19842458f, -0.19851518f, 
-0.19860518f, -0.198695f, -0.19878708f, -0.19887733f, -0.19896555f, -0.19905487f, -0.19915009f, -0.1992367f, -0.19932747f, -0.19941139f, 
-0.1995012f, -0.19958952f, -0.19967765f, -0.19976689f, -0.19985771f, -0.19995189f, -0.20004624f, -0.20013845f, -0.20022783f, -0.2003197f, 
-0.20041156f, -0.20049909f, -0.20058972f, -0.20067853f, -0.2007668f, -0.20085475f, -0.20094857f, -0.20103765f, -0.20112804f, -0.20122027f, 
-0.20131397f, -0.20140553f, -0.20149994f, -0.20159061f, -0.20168471f, -0.20177603f, -0.20187122f, -0.20195958f, -0.20205379f, -0.20214856f, 
-0.2022407f, -0.20232785f, -0.20242041f, -0.20251524f, -0.20260727f, -0.20270133f, -0.20279413f, -0.20289063f, -0.20298481f, -0.20307645f, 
-0.20317337f, -0.20327151f, -0.20336524f, -0.2034576f, -0.20355177f, -0.2036469f, -0.20374416f, -0.20383954f, -0.20393309f, -0.20402324f, 
-0.20411766f, -0.2042129f, -0.20430893f, -0.20440382f, -0.20450294f, -0.2045958f, -0.20469117f, -0.20478415f, -0.20487404f, -0.20497108f, 
-0.20506763f, -0.20515883f, -0.20525707f, -0.20535162f, -0.20544511f, -0.20554328f, -0.2056396f, -0.20573592f, -0.20583129f, -0.20592555f, 
-0.20601809f, -0.2061103f, -0.20620221f, -0.20629427f, -0.206393f, -0.20649064f, -0.20658284f, -0.20667887f, -0.2067709f, -0.206864f, 
-0.20696306f, -0.20706144f, -0.2071596f, -0.20725489f, -0.2073465f, -0.2074399f, -0.2075386f, -0.20763946f, -0.20773682f, -0.20783657f, 
-0.20793349f, -0.20803578f, -0.20813245f, -0.20822829f, -0.20832765f, -0.20842743f, -0.20852703f, -0.20862222f, -0.2087211f, -0.2088151f, 
-0.20891225f, -0.20901275f, -0.20910901f, -0.2092061f, -0.20930505f, -0.20940608f, -0.2095077f, -0.20960446f, -0.2097045f, -0.20979819f, 
-0.20990062f, -0.21000081f, -0.21010351f, -0.21020293f, -0.2103039f, -0.2104019f, -0.21050334f, -0.21060172f, -0.21070725f, -0.2108087f, 
-0.21091044f, -0.21101576f, -0.21111456f, -0.21122086f, -0.21131808f, -0.21141696f, -0.21151179f, -0.21161193f, -0.21171191f, -0.21181363f, 
-0.21191406f, -0.21201706f, -0.21211514f, -0.21221328f, -0.2123174f, -0.21242666f, -0.21253139f, -0.21262734f, -0.21273494f, -0.21283752f, 
-0.2129314f, -0.21303493f, -0.21314028f, -0.21324681f, -0.21335128f, -0.21345487f, -0.2135551f, -0.2136575f, -0.2137599f, -0.21385658f, 
-0.21396376f, -0.21406144f, -0.2141645f, -0.2142644f, -0.21436787f, -0.21446764f, -0.21457285f, -0.21467154f, -0.21477735f, -0.21487862f, 
-0.21498227f, -0.21508712f, -0.21519321f, -0.21529558f, -0.21539795f, -0.2155025f, -0.21560106f, -0.21570405f, -0.21580446f, -0.21591002f, 
-0.21601224f, -0.21611834f, -0.216223f, -0.21632314f, -0.21642989f, -0.21653496f, -0.21663958f, -0.21674371f, -0.21684802f, -0.2169491f, 
-0.21705358f, -0.21716177f, -0.21726918f, -0.21737221f, -0.2174778f, -0.21758777f, -0.2177006f, -0.21781015f, -0.2179153f, -0.21801904f, 
-0.2181249f, -0.21823682f, -0.21834731f, -0.2184487f, -0.21855235f, -0.21865743f, -0.2187674f, -0.21887946f, -0.21898562f, -0.21909046f, 
-0.21920137f, -0.21931124f, -0.21941376f, -0.21952689f, -0.21963596f, -0.21974657f, -0.21985713f, -0.2199626f, -0.22007686f, -0.22019017f, 
-0.22029817f, -0.22041154f, -0.2205204f, -0.22062455f, -0.22072995f, -0.2208432f, -0.22095117f, -0.22105682f, -0.22116321f, -0.22127116f, 
-0.22137892f, -0.22149134f, -0.22160679f, -0.22171187f, -0.22182357f, -0.22192907f, -0.22203642f, -0.22215104f, -0.22226167f, -0.22237617f, 
-0.22248435f, -0.22259587f, -0.22270775f, -0.22282016f, -0.22292867f, -0.22304529f, -0.22315133f, -0.22326684f, -0.22337568f, -0.22348666f, 
-0.22359872f, -0.22370893f, -0.22381377f, -0.2239303f, -0.2240392f, -0.22415102f, -0.2242583f, -0.22436833f, -0.22448415f, -0.22459435f, 
-0.22470129f, -0.22481832f, -0.22493255f, -0.2250396f, -0.22514749f, -0.22525716f, -0.22536886f, -0.22548175f, -0.2255912f, -0.22570285f, 
-0.22581673f, -0.22592473f, -0.2260375f, -0.22615767f, -0.22627854f, -0.22639775f, -0.22651291f, -0.22662497f, -0.226744f, -0.22685623f, 
-0.22696763f, -0.22708116f, -0.22719121f, -0.22730254f, -0.22742018f, -0.22753254f, -0.22764492f, -0.22776175f, -0.22788537f, -0.22800118f, 
-0.22810939f, -0.2282266f, -0.22834527f, -0.22845852f, -0.22857624f, -0.22869095f, -0.22880518f, -0.22892284f, -0.22903371f, -0.22915292f, 
-0.22926629f, -0.2293899f, -0.22950554f, -0.22961676f, -0.22973847f, -0.22985649f, -0.22997797f, -0.23009136f, -0.23020649f, -0.23032443f, 
-0.2304399f, -0.23054796f, -0.23066667f, -0.23078626f, -0.23090672f, -0.23102832f, -0.23113969f, -0.23126f, -0.23138392f, -0.23149598f, 
-0.23161268f, -0.23172092f, -0.23184061f, -0.23196125f, -0.23207313f, -0.23219371f, -0.23230934f, -0.23242545f, -0.23254144f, -0.23266533f, 
-0.23278475f, -0.23290291f, -0.23302585f, -0.23314714f, -0.23327671f, -0.23339415f, -0.23351741f, -0.23363924f, -0.23376226f, -0.23388484f, 
-0.23400497f, -0.23412514f, -0.234249f, -0.23436953f, -0.23449522f, -0.23461539f, -0.2347421f, -0.23486236f, -0.23498702f, -0.23510778f, 
-0.2352243f, -0.23534703f, -0.23546398f, -0.23558891f, -0.23571873f, -0.23583937f, -0.2359569f, -0.23608017f, -0.23620355f, -0.23632926f, 
-0.23645118f, -0.23657525f, -0.2367022f, -0.23683143f, -0.23695803f, -0.23708165f, -0.23719788f, -0.23732528f, -0.23744607f, -0.23757124f, 
-0.23769248f, -0.237813f, -0.23793888f, -0.2380681f, -0.2381919f, -0.23831725f, -0.23844773f, -0.23856816f, -0.23869994f, -0.23881933f, 
-0.23894727f, -0.2390678f, -0.23919326f, -0.23932019f, -0.23943773f, -0.23956957f, -0.23970497f, -0.23983198f, -0.23995918f, -0.2400856f, 
-0.24021077f, -0.24033713f, -0.24047244f, -0.24060524f, -0.24073696f, -0.24087197f, -0.24099605f, -0.24112144f, -0.24125743f, -0.24137771f, 
-0.24150932f, -0.24163285f, -0.24176812f, -0.24189639f, -0.24203318f, -0.2421605f, -0.24228859f, -0.24241443f, -0.24255228f, -0.24267995f, 
-0.24281406f, -0.24294138f, -0.24306583f, -0.24319579f, -0.24332494f, -0.24345353f, -0.24357945f, -0.24370909f, -0.24384642f, -0.24397135f, 
-0.24410623f, -0.24423748f, -0.24436855f, -0.24450535f, -0.24463272f, -0.24476838f, -0.24489248f, -0.24502543f, -0.24515522f, -0.24529123f, 
-0.24542332f, -0.24555206f, -0.2456829f, -0.24581432f, -0.24595112f, -0.24608487f, -0.24622345f, -0.24634492f, -0.24647489f, -0.24660492f, 
-0.24674296f, -0.246878f, -0.24701929f, -0.24715328f, -0.24728465f, -0.24741542f, -0.24754214f, -0.24767506f, -0.24781132f, -0.24794292f, 
-0.24807572f, -0.24821472f, -0.24834299f, -0.24847636f, -0.24861911f, -0.24875045f, -0.24888766f, -0.24901903f, -0.24914932f, -0.24929094f, 
-0.24941516f, -0.24955004f, -0.24967745f, -0.24980664f, -0.2499431f, -0.25007212f, -0.2502076f, -0.25034332f, -0.25047946f, -0.25060987f, 
-0.25075346f, -0.25089705f, -0.25103855f, -0.25118506f, -0.25133076f, -0.2514751f, -0.2516237f, -0.2517736f, -0.25192392f, -0.25207213f, 
-0.25222683f, -0.25237584f, -0.2525301f, -0.2526934f, -0.25284767f, -0.25299788f, -0.25315064f, -0.2533095f, -0.2534604f, -0.2536143f, 
-0.25377452f, -0.25393468f, -0.25409812f, -0.2542519f, -0.25441504f, -0.25458574f, -0.25475597f, -0.25491118f, -0.25507498f, -0.25523746f, 
-0.25540447f, -0.25556618f, -0.2557326f, -0.2559005f, -0.25606495f, -0.25623322f, -0.25639653f, -0.25656796f, -0.2567463f, -0.25692296f, 
-0.25710702f, -0.25728607f, -0.25746536f, -0.25763512f, -0.25780392f, -0.2579801f, -0.25816602f, -0.25834092f, -0.25852758f, -0.25871098f, 
-0.25888824f, -0.2590778f, -0.25925788f, -0.25943995f, -0.25962597f, -0.2598095f, -0.25999236f, -0.26017356f, -0.2603562f, -0.2605517f, 
-0.2607432f, -0.26092958f, -0.26111042f, -0.26130214f, -0.2614932f, -0.26168305f, -0.26186115f, -0.262043f, -0.26223007f, -0.26241112f, 
-0.26260448f, -0.26279545f, -0.26298723f, -0.26317024f, -0.26336384f, -0.26355636f, -0.26375765f, -0.26394892f, -0.2641368f, -0.2643323f, 
-0.26452076f, -0.2647233f, -0.26491117f, -0.26511714f, -0.2653234f, -0.26552883f, -0.26572388f, -0.26594567f, -0.26614988f, -0.266361f, 
-0.26656437f, -0.2667892f, -0.26699734f, -0.26719904f, -0.26740718f, -0.2676146f, -0.26781392f, -0.26803112f, -0.2682327f, -0.2684553f, 
-0.26865768f, -0.26887846f, -0.2690854f, -0.26930708f, -0.2695222f, -0.26973832f, -0.2699504f, -0.27016816f, -0.27039433f, -0.2706052f, 
-0.2708192f, -0.2710408f, -0.27125967f, -0.27148914f, -0.2717051f, -0.27191806f, -0.2721418f, -0.27238607f, -0.2726255f, -0.27284908f, 
-0.27307498f, -0.27330685f, -0.27354503f, -0.2737801f, -0.2740214f, -0.27424312f, -0.27447754f, -0.27470446f, -0.27495146f, -0.27521038f, 
-0.2754448f, -0.2756796f, -0.27592885f, -0.27617192f, -0.27641726f, -0.27666575f, -0.2769128f, -0.277169f, -0.27742136f, -0.27766478f, 
-0.2779057f, -0.27815917f, -0.27840868f, -0.27867198f, -0.27895498f, -0.27921867f, -0.27948356f, -0.2797556f, -0.28001285f, -0.28027463f, 
-0.28054f, -0.2808032f, -0.28105688f, -0.2813177f, -0.28157735f, -0.28183863f, -0.28211248f, -0.28238153f, -0.2826481f, -0.28291893f, 
-0.28319633f, -0.28346872f, -0.28375745f, -0.2840348f, -0.28431797f, -0.28459644f, -0.284863f, -0.285151f, -0.2854247f, -0.28568769f, 
-0.28598022f, -0.28627872f, -0.28657913f, -0.2868781f, -0.28715968f, -0.28745437f, -0.28775215f, -0.2880497f, -0.2883519f, -0.2886598f, 
-0.2889681f, -0.28929138f, -0.2896073f, -0.28992027f, -0.29022473f, -0.2905345f, -0.2908287f, -0.29114246f, -0.29146194f, -0.29178f, 
-0.29210424f, -0.29241943f, -0.29272842f, -0.29304314f, -0.29336688f, -0.29370582f, -0.29402435f, -0.29435685f, -0.29469728f, -0.29505134f, 
-0.29540324f, -0.29575348f, -0.29611874f, -0.29646492f, -0.29681587f, -0.29716063f, -0.29753304f, -0.2978971f, -0.298239f, -0.29860306f, 
-0.2989719f, -0.29934978f, -0.29971886f, -0.30010092f, -0.3005104f, -0.30090332f, -0.3012867f, -0.301682f, -0.30209827f, -0.30249166f, 
-0.30289197f, -0.30329084f, -0.3037064f, -0.3041401f, -0.30456877f, -0.3050108f, -0.3054366f, -0.3058529f, -0.30629826f, -0.3067727f, 
-0.3072331f, -0.3077097f, -0.3081595f, -0.30861682f, -0.309101f, -0.30959135f, -0.31005836f, -0.3105626f, -0.31106758f, -0.3116045f, 
-0.31212485f, -0.31262207f, -0.31312275f, -0.31365776f, -0.31420612f, -0.3147787f, -0.31537437f, -0.3159349f, -0.3165183f, -0.3171091f, 
-0.31772166f, -0.31833172f, -0.318994f, -0.31964397f, -0.32026386f, -0.32094002f, -0.3215866f, -0.32226372f, -0.32296658f, -0.3236568f, 
-0.3243351f, -0.32507324f, -0.32586384f, -0.32661247f, -0.3274225f, -0.32823133f, -0.32907462f, -0.3299153f, -0.33079123f, -0.3316641f, 
-0.3325944f, -0.33354568f, -0.33452415f, -0.3356347f, -0.3367095f, -0.337842f, -0.339006f, -0.3401544f, -0.34135437f, -0.34259415f, 
-0.34391558f, -0.34528685f, -0.34671807f, -0.34830475f, -0.34988976f, -0.35164595f, -0.35348034f, -0.35555553f, -0.35780716f, -0.36014748f, 
-0.36260986f, -0.36515808f, -0.36805725f, -0.37121582f, -0.37493896f, -0.379467f, -0.3846907f, -0.39066124f, -0.39869308f, -0.41350937f, 
-0.5f
